name,short_name,city,state,type,established_year,nirf_rank,nirf_score,naac_grade,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,exams_accepted,streams,about,highlights,website,slug
Indian Institute of Technology Madras,IIT Madras,Chennai,Tamil Nadu,CENTRAL,1959,1,89.93,A++,75000,200000,94.5,18.0,1.8,"Microsoft,Google,Amazon,Goldman Sachs,McKinsey",JEE Advanced,ENGINEERING,"IIT Madras is India's top-ranked engineering institution by NIRF 2024, known for world-class research and exceptional industry connections.","NIRF #1,Research excellence,Global alumni,IIT status",https://www.iitm.ac.in,indian-institute-of-technology-madras
Indian Institute of Technology Bombay,IIT Bombay,Mumbai,Maharashtra,CENTRAL,1958,2,88.51,A++,100000,230000,95.2,20.0,2.5,"Google,Microsoft,BCG,Goldman Sachs,Apple",JEE Advanced,ENGINEERING,IIT Bombay ranks #2 in India and is one of Asia's premier engineering institutions with strong entrepreneurship culture.,"NIRF #2,Entrepreneurship hub,Industry connect,IIT status",https://www.iitb.ac.in,indian-institute-of-technology-bombay
Indian Institute of Technology Kharagpur,IIT Kharagpur,Kharagpur,West Bengal,CENTRAL,1951,3,87.12,A++,65000,185000,92.8,16.5,2.2,"Microsoft,Amazon,Google,Tata,Infosys",JEE Advanced,ENGINEERING,"India's oldest IIT, IIT Kharagpur offers 100+ programs across 19 departments with a sprawling 2100-acre campus.","NIRF #3,Oldest IIT,Largest campus,Research focus",https://www.iitkgp.ac.in,indian-institute-of-technology-kharagpur
Indian Institute of Technology Delhi,IIT Delhi,New Delhi,Delhi,CENTRAL,1961,4,86.87,A++,85000,210000,94.0,19.5,2.3,"Google,Microsoft,McKinsey,BCG,Samsung",JEE Advanced,ENGINEERING,IIT Delhi is centrally located in the capital with exceptional placement records and strong industry-academia links.,"NIRF #4,Capital location,Top placements,IIT status",https://www.iitd.ac.in,indian-institute-of-technology-delhi
Indian Institute of Technology Kanpur,IIT Kanpur,Kanpur,Uttar Pradesh,CENTRAL,1959,5,85.96,A++,70000,195000,93.5,17.8,2.0,"Google,Microsoft,Amazon,Qualcomm,Texas Instruments",JEE Advanced,ENGINEERING,IIT Kanpur is renowned for computer science and engineering research and introduced the first CS program in India.,"NIRF #5,First CS program India,Strong research,IIT status",https://www.iitk.ac.in,indian-institute-of-technology-kanpur
Indian Institute of Technology Roorkee,IIT Roorkee,Roorkee,Uttarakhand,CENTRAL,1847,6,84.56,A++,65000,180000,91.5,16.0,1.9,"Microsoft,Google,Amazon,L&T,Samsung",JEE Advanced,ENGINEERING,"Asia's oldest technical institution, IIT Roorkee combines heritage with modern research across engineering and sciences.","NIRF #6,Asia oldest tech institute,Heritage campus,IIT status",https://www.iitr.ac.in,indian-institute-of-technology-roorkee
Indian Institute of Technology Guwahati,IIT Guwahati,Guwahati,Assam,CENTRAL,1994,7,82.45,A++,60000,170000,89.5,14.5,1.6,"Microsoft,Google,Amazon,Flipkart,TCS",JEE Advanced,ENGINEERING,IIT Guwahati is the premier technical institution of North-East India with a beautiful riverside campus.,"NIRF #7,North-East premier,Scenic campus,IIT status",https://www.iitg.ac.in,indian-institute-of-technology-guwahati
Indian Institute of Technology Hyderabad,IIT Hyderabad,Hyderabad,Telangana,CENTRAL,2008,8,80.11,A+,65000,175000,88.2,14.0,1.5,"Microsoft,Google,Amazon,Qualcomm,Intel",JEE Advanced,ENGINEERING,"IIT Hyderabad is one of India's new-generation IITs, rapidly emerging as a research powerhouse in AI and deep-tech.","NIRF #8,AI research hub,Fast growing,IIT status",https://www.iith.ac.in,indian-institute-of-technology-hyderabad
National Institute of Technology Tiruchirappalli,NIT Trichy,Tiruchirappalli,Tamil Nadu,CENTRAL,1964,9,79.22,A++,85000,150000,94.0,12.0,1.4,"Microsoft,Amazon,Google,L&T,Cognizant",JEE Main,ENGINEERING,"NIT Trichy is consistently ranked among India's top NITs, known for excellent placements and strong alumni network.","NIRF #9,Top NIT,Excellent placements,NIRF ranked",https://www.nitt.edu,national-institute-of-technology-tiruchirappalli
Indian Institute of Technology Indore,IIT Indore,Indore,Madhya Pradesh,CENTRAL,2009,10,77.88,A+,65000,165000,86.5,13.5,1.4,"Microsoft,Google,Amazon,Samsung,Wipro",JEE Advanced,ENGINEERING,IIT Indore is a fast-growing new IIT with strong focus on research and international collaborations.,"NIRF #10,Growing IIT,Research focus,IIT status",https://www.iiti.ac.in,indian-institute-of-technology-indore
National Institute of Technology Warangal,NIT Warangal,Warangal,Telangana,CENTRAL,1959,12,75.43,A++,80000,140000,92.5,11.5,1.3,"Microsoft,Amazon,Google,TCS,Infosys",JEE Main,ENGINEERING,NIT Warangal is one of India's oldest and most prestigious NITs with a strong tradition of academic excellence.,"NIRF #12,Top NIT,Strong alumni,NIRF ranked",https://www.nitw.ac.in,national-institute-of-technology-warangal
National Institute of Technology Surathkal,NIT Karnataka,Surathkal,Karnataka,CENTRAL,1960,14,73.21,A++,80000,140000,91.0,11.0,1.2,"Microsoft,Google,Amazon,Infosys,Wipro",JEE Main,ENGINEERING,NIT Karnataka Surathkal is located on the scenic Konkan coast and is among India's top technical institutions.,"NIRF #14,Coastal campus,Top NIT,NIRF ranked",https://www.nitk.ac.in,national-institute-of-technology-surathkal
National Institute of Technology Rourkela,NIT Rourkela,Rourkela,Odisha,CENTRAL,1961,16,71.56,A+,75000,135000,89.5,10.5,1.1,"Tata Steel,Microsoft,Google,Amazon,Infosys",JEE Main,ENGINEERING,NIT Rourkela is a top technical institution in Eastern India with excellent infrastructure and research facilities.,"NIRF #16,Eastern India premier,Research facilities,NIRF ranked",https://www.nitrkl.ac.in,national-institute-of-technology-rourkela
National Institute of Technology Calicut,NIT Calicut,Calicut,Kerala,CENTRAL,1961,18,70.12,A+,75000,130000,88.0,10.0,1.0,"Microsoft,Google,Amazon,Infosys,TCS",JEE Main,ENGINEERING,NIT Calicut is Kerala's premier engineering institution with strong industry connections and excellent placement record.,"NIRF #18,Kerala premier,Good placements,NIRF ranked",https://www.nitc.ac.in,national-institute-of-technology-calicut
National Institute of Technology Durgapur,NIT Durgapur,Durgapur,West Bengal,CENTRAL,1960,22,68.45,A+,70000,125000,86.5,9.5,1.0,"Tata,Microsoft,Amazon,Infosys,Wipro",JEE Main,ENGINEERING,NIT Durgapur is a leading technical institution in West Bengal with strong academic and research programs.,"NIRF #22,West Bengal premier,Research programs,NIRF ranked",https://www.nitdgp.ac.in,national-institute-of-technology-durgapur
National Institute of Technology Silchar,NIT Silchar,Silchar,Assam,CENTRAL,1967,25,66.78,A,65000,120000,84.0,9.0,0.9,"Infosys,TCS,Wipro,Amazon,Microsoft",JEE Main,ENGINEERING,NIT Silchar is the leading technical institution of North-East India outside Guwahati.,"NIRF #25,North-East institution,Growing rapidly,NIRF ranked",https://www.nits.ac.in,national-institute-of-technology-silchar
National Institute of Technology Jaipur,MNIT Jaipur,Jaipur,Rajasthan,CENTRAL,1963,26,65.99,A+,72000,128000,85.5,9.5,1.0,"Microsoft,Amazon,Infosys,TCS,L&T",JEE Main,ENGINEERING,MNIT Jaipur is Rajasthan's top technical institution with excellent engineering programs and strong industry ties.,"NIRF #26,Rajasthan premier,Industry connections,NIRF ranked",https://www.mnit.ac.in,national-institute-of-technology-jaipur
National Institute of Technology Patna,NIT Patna,Patna,Bihar,CENTRAL,1886,35,61.23,A,60000,115000,82.0,8.5,0.85,"TCS,Infosys,Wipro,Amazon,Cognizant",JEE Main,ENGINEERING,NIT Patna is Bihar's premier technical institution with a long history of engineering education.,"NIRF #35,Bihar premier,Long history,NIRF ranked",https://www.nitp.ac.in,national-institute-of-technology-patna
Indian Institute of Management Ahmedabad,IIM Ahmedabad,Ahmedabad,Gujarat,CENTRAL,1961,1,88.55,A++,2500000,2500000,100.0,34.0,10.0,"McKinsey,BCG,Bain,Goldman Sachs,Amazon",CAT,MANAGEMENT,IIM Ahmedabad is India's #1 management institution and among Asia's best business schools with legendary case-study pedagogy.,"NIRF #1 Management,100% placement,Global reputation,IIM status",https://www.iima.ac.in,indian-institute-of-management-ahmedabad
