name,slug,city,state,type,established_year,nirf_rank,nirf_category,naac_grade,rating,total_ratings,min_fees,max_fees,placement_percent,avg_package,highest_package,top_recruiters,courses_offered,website,ugc_approved,about,source
IIT Madras,iit-madras,Chennai,Tamil Nadu,GOVERNMENT,1959,1,Engineering,A,4.1,3290,215000,268879,97.5,28.4,210.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-madras.edu.in,True,"IIT Madras is a premier government institution located in Chennai, Tamil Nadu. Established in 1959, it is highly ranked in Engineering.",kaggle_fallback
IIT Delhi,iit-delhi,New Delhi,Delhi,GOVERNMENT,1961,2,Engineering,A+,4.2,3067,235000,328931,96.0,25.8,190.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-delhi.edu.in,True,"IIT Delhi is a premier government institution located in New Delhi, Delhi. Established in 1961, it is highly ranked in Engineering.",kaggle_fallback
IIT Bombay,iit-bombay,Mumbai,Maharashtra,GOVERNMENT,1958,3,Engineering,A+,4.8,3171,230000,341956,96.8,30.2,360.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-bombay.edu.in,True,"IIT Bombay is a premier government institution located in Mumbai, Maharashtra. Established in 1958, it is highly ranked in Engineering.",kaggle_fallback
IIT Kanpur,iit-kanpur,Kanpur,Uttar Pradesh,GOVERNMENT,1959,4,Engineering,A+,4.3,4723,220000,326288,95.0,24.5,190.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-kanpur.edu.in,True,"IIT Kanpur is a premier government institution located in Kanpur, Uttar Pradesh. Established in 1959, it is highly ranked in Engineering.",kaggle_fallback
IIT Roorkee,iit-roorkee,Roorkee,Uttarakhand,GOVERNMENT,1847,5,Engineering,A+,4.0,1787,225000,266473,93.5,22.0,130.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-roorkee.edu.in,True,"IIT Roorkee is a premier government institution located in Roorkee, Uttarakhand. Established in 1847, it is highly ranked in Engineering.",kaggle_fallback
IIT Kharagpur,iit-kharagpur,Kharagpur,West Bengal,GOVERNMENT,1951,6,Engineering,A,3.9,4620,215000,291615,92.0,20.5,260.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-kharagpur.edu.in,True,"IIT Kharagpur is a premier government institution located in Kharagpur, West Bengal. Established in 1951, it is highly ranked in Engineering.",kaggle_fallback
IIT Guwahati,iit-guwahati,Guwahati,Assam,GOVERNMENT,1994,7,Engineering,A,4.7,978,215000,300935,91.5,21.0,120.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-guwahati.edu.in,True,"IIT Guwahati is a premier government institution located in Guwahati, Assam. Established in 1994, it is highly ranked in Engineering.",kaggle_fallback
IIT Hyderabad,iit-hyderabad,Hyderabad,Telangana,GOVERNMENT,2008,8,Engineering,A++,3.7,3913,220000,272596,90.0,20.0,65.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-hyderabad.edu.in,True,"IIT Hyderabad is a premier government institution located in Hyderabad, Telangana. Established in 2008, it is highly ranked in Engineering.",kaggle_fallback
NIT Trichy,nit-trichy,Tiruchirappalli,Tamil Nadu,GOVERNMENT,1964,9,Engineering,A,4.6,945,150000,202886,92.5,12.5,50.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.nit-trichy.edu.in,True,"NIT Trichy is a premier government institution located in Tiruchirappalli, Tamil Nadu. Established in 1964, it is highly ranked in Engineering.",kaggle_fallback
Jadavpur University,jadavpur-university,Kolkata,West Bengal,GOVERNMENT,1955,10,Engineering,A++,3.8,2924,10000,11177,90.0,10.0,85.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.jadavpur-university.edu.in,True,"Jadavpur University is a premier government institution located in Kolkata, West Bengal. Established in 1955, it is highly ranked in Engineering.",kaggle_fallback
VIT Vellore,vit-vellore,Vellore,Tamil Nadu,PRIVATE,1984,11,Engineering,A++,4.6,476,198000,261927,88.0,8.5,102.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.vit-vellore.edu.in,True,"VIT Vellore is a premier private institution located in Vellore, Tamil Nadu. Established in 1984, it is highly ranked in Engineering.",kaggle_fallback
NIT Surathkal,nit-surathkal,Mangalore,Karnataka,GOVERNMENT,1960,12,Engineering,A,4.1,469,140000,179315,91.0,11.5,45.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.nit-surathkal.edu.in,True,"NIT Surathkal is a premier government institution located in Mangalore, Karnataka. Established in 1960, it is highly ranked in Engineering.",kaggle_fallback
Anna University,anna-university,Chennai,Tamil Nadu,GOVERNMENT,1978,13,Engineering,A,4.2,2847,50000,73275,85.0,7.5,36.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.anna-university.edu.in,True,"Anna University is a premier government institution located in Chennai, Tamil Nadu. Established in 1978, it is highly ranked in Engineering.",kaggle_fallback
IIT Indore,iit-indore,Indore,Madhya Pradesh,GOVERNMENT,2009,14,Engineering,B++,3.5,1097,210000,288925,89.0,18.0,55.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-indore.edu.in,True,"IIT Indore is a premier government institution located in Indore, Madhya Pradesh. Established in 2009, it is highly ranked in Engineering.",kaggle_fallback
IIT BHU,iit-bhu,Varanasi,Uttar Pradesh,GOVERNMENT,1919,15,Engineering,B++,4.6,1614,215000,302151,90.5,19.5,115.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-bhu.edu.in,True,"IIT BHU is a premier government institution located in Varanasi, Uttar Pradesh. Established in 1919, it is highly ranked in Engineering.",kaggle_fallback
NIT Rourkela,nit-rourkela,Rourkela,Odisha,GOVERNMENT,1961,16,Engineering,A+,4.5,1845,145000,187164,88.5,10.0,42.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.nit-rourkela.edu.in,True,"NIT Rourkela is a premier government institution located in Rourkela, Odisha. Established in 1961, it is highly ranked in Engineering.",kaggle_fallback
IIT (ISM) Dhanbad,iit-ism-dhanbad,Dhanbad,Jharkhand,GOVERNMENT,1926,17,Engineering,B++,3.9,4502,215000,269708,88.0,17.5,50.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-ism-dhanbad.edu.in,True,"IIT (ISM) Dhanbad is a premier government institution located in Dhanbad, Jharkhand. Established in 1926, it is highly ranked in Engineering.",kaggle_fallback
IIT Gandhinagar,iit-gandhinagar,Gandhinagar,Gujarat,GOVERNMENT,2008,18,Engineering,A,3.6,2787,220000,297766,87.0,16.0,45.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iit-gandhinagar.edu.in,True,"IIT Gandhinagar is a premier government institution located in Gandhinagar, Gujarat. Established in 2008, it is highly ranked in Engineering.",kaggle_fallback
Amrita Vishwa Vidyapeetham,amrita-vishwa-vidyapeetham,Coimbatore,Tamil Nadu,PRIVATE,1994,19,Engineering,A,4.1,1834,350000,477051,82.0,6.5,52.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.amrita-vishwa-vidyapeetham.edu.in,True,"Amrita Vishwa Vidyapeetham is a premier private institution located in Coimbatore, Tamil Nadu. Established in 1994, it is highly ranked in Engineering.",kaggle_fallback
Thapar Institute,thapar-institute,Patiala,Punjab,PRIVATE,1956,20,Engineering,B++,3.5,1656,380000,435043,85.0,9.0,40.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.thapar-institute.edu.in,True,"Thapar Institute is a premier private institution located in Patiala, Punjab. Established in 1956, it is highly ranked in Engineering.",kaggle_fallback
BITS Pilani,bits-pilani,Pilani,Rajasthan,PRIVATE,1964,25,Engineering,A,3.8,1029,450000,564125,95.5,18.5,130.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.bits-pilani.edu.in,True,"BITS Pilani is a premier private institution located in Pilani, Rajasthan. Established in 1964, it is highly ranked in Engineering.",kaggle_fallback
IIIT Hyderabad,iiit-hyderabad,Hyderabad,Telangana,GOVERNMENT,1998,55,Engineering,A+,4.2,3782,300000,380085,98.0,30.0,85.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iiit-hyderabad.edu.in,True,"IIIT Hyderabad is a premier government institution located in Hyderabad, Telangana. Established in 1998, it is highly ranked in Engineering.",kaggle_fallback
DTU Delhi,dtu-delhi,New Delhi,Delhi,GOVERNMENT,1941,29,Engineering,A,4.1,4472,166000,230741,91.0,15.0,65.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.dtu-delhi.edu.in,True,"DTU Delhi is a premier government institution located in New Delhi, Delhi. Established in 1941, it is highly ranked in Engineering.",kaggle_fallback
NSUT Delhi,nsut-delhi,New Delhi,Delhi,GOVERNMENT,1983,60,Engineering,A++,4.1,904,166000,204231,90.0,14.5,60.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.nsut-delhi.edu.in,True,"NSUT Delhi is a premier government institution located in New Delhi, Delhi. Established in 1983, it is highly ranked in Engineering.",kaggle_fallback
IIIT Allahabad,iiit-allahabad,Prayagraj,Uttar Pradesh,GOVERNMENT,1999,89,Engineering,B++,4.6,4262,150000,175036,94.0,20.0,45.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Engineering|MBA|B.Sc,https://www.iiit-allahabad.edu.in,True,"IIIT Allahabad is a premier government institution located in Prayagraj, Uttar Pradesh. Established in 1999, it is highly ranked in Engineering.",kaggle_fallback
AIIMS New Delhi,aiims-new-delhi,New Delhi,Delhi,GOVERNMENT,1956,1,Medical,A+,3.9,3018,1628,2321,99.0,12.0,24.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.aiims-new-delhi.edu.in,True,"AIIMS New Delhi is a premier government institution located in New Delhi, Delhi. Established in 1956, it is highly ranked in Medical.",kaggle_fallback
PGIMER,pgimer,Chandigarh,Chandigarh,GOVERNMENT,1962,2,Medical,B++,4.6,3278,4000,5912,98.0,15.0,30.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.pgimer.edu.in,True,"PGIMER is a premier government institution located in Chandigarh, Chandigarh. Established in 1962, it is highly ranked in Medical.",kaggle_fallback
CMC Vellore,cmc-vellore,Vellore,Tamil Nadu,PRIVATE,1900,3,Medical,A+,4.7,4038,50000,62304,95.0,10.0,20.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.cmc-vellore.edu.in,True,"CMC Vellore is a premier private institution located in Vellore, Tamil Nadu. Established in 1900, it is highly ranked in Medical.",kaggle_fallback
NIMHANS,nimhans,Bangalore,Karnataka,GOVERNMENT,1974,4,Medical,A+,3.7,4020,30000,41502,94.0,14.0,25.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.nimhans.edu.in,True,"NIMHANS is a premier government institution located in Bangalore, Karnataka. Established in 1974, it is highly ranked in Medical.",kaggle_fallback
JIPMER,jipmer,Puducherry,Puducherry,GOVERNMENT,1823,5,Medical,A+,4.5,2273,12000,14182,95.0,11.0,22.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.jipmer.edu.in,True,"JIPMER is a premier government institution located in Puducherry, Puducherry. Established in 1823, it is highly ranked in Medical.",kaggle_fallback
Amrita Vishwa Vidyapeetham,amrita-vishwa-vidyapeetham-kochi,Kochi,Kerala,PRIVATE,1998,6,Medical,A+,4.7,760,1800000,2315308,90.0,8.0,18.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.amrita-vishwa-vidyapeetham.edu.in,True,"Amrita Vishwa Vidyapeetham is a premier private institution located in Kochi, Kerala. Established in 1998, it is highly ranked in Medical.",kaggle_fallback
SGPGI,sgpgi,Lucknow,Uttar Pradesh,GOVERNMENT,1983,7,Medical,A,4.9,1091,45000,66617,92.0,14.0,25.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.sgpgi.edu.in,True,"SGPGI is a premier government institution located in Lucknow, Uttar Pradesh. Established in 1983, it is highly ranked in Medical.",kaggle_fallback
BHU Medical,bhu-medical,Varanasi,Uttar Pradesh,GOVERNMENT,1960,8,Medical,B++,4.0,1391,30000,44306,90.0,10.0,20.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.bhu-medical.edu.in,True,"BHU Medical is a premier government institution located in Varanasi, Uttar Pradesh. Established in 1960, it is highly ranked in Medical.",kaggle_fallback
KMC Manipal,kmc-manipal,Manipal,Karnataka,PRIVATE,1953,9,Medical,A++,4.3,3625,1400000,1811394,88.0,9.0,15.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.kmc-manipal.edu.in,True,"KMC Manipal is a premier private institution located in Manipal, Karnataka. Established in 1953, it is highly ranked in Medical.",kaggle_fallback
KGMU,kgmu,Lucknow,Uttar Pradesh,GOVERNMENT,1905,10,Medical,B++,3.5,1987,54000,80076,89.0,11.0,20.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Medical|MBA|B.Sc,https://www.kgmu.edu.in,True,"KGMU is a premier government institution located in Lucknow, Uttar Pradesh. Established in 1905, it is highly ranked in Medical.",kaggle_fallback
IIM Ahmedabad,iim-ahmedabad,Ahmedabad,Gujarat,GOVERNMENT,1961,1,Management,A++,3.9,3287,2400000,3205294,100.0,33.0,150.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-ahmedabad.edu.in,True,"IIM Ahmedabad is a premier government institution located in Ahmedabad, Gujarat. Established in 1961, it is highly ranked in Management.",kaggle_fallback
IIM Bangalore,iim-bangalore,Bangalore,Karnataka,GOVERNMENT,1973,2,Management,A+,4.5,883,2400000,2884009,100.0,32.5,140.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-bangalore.edu.in,True,"IIM Bangalore is a premier government institution located in Bangalore, Karnataka. Established in 1973, it is highly ranked in Management.",kaggle_fallback
IIM Kozhikode,iim-kozhikode,Kozhikode,Kerala,GOVERNMENT,1996,3,Management,A++,4.4,4860,2000000,2541916,100.0,28.0,120.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-kozhikode.edu.in,True,"IIM Kozhikode is a premier government institution located in Kozhikode, Kerala. Established in 1996, it is highly ranked in Management.",kaggle_fallback
IIM Calcutta,iim-calcutta,Kolkata,West Bengal,GOVERNMENT,1961,4,Management,A,3.6,420,2300000,3129973,100.0,34.0,130.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-calcutta.edu.in,True,"IIM Calcutta is a premier government institution located in Kolkata, West Bengal. Established in 1961, it is highly ranked in Management.",kaggle_fallback
IIT Delhi DMS,iit-delhi-dms,New Delhi,Delhi,GOVERNMENT,1997,5,Management,A+,4.6,639,1000000,1232083,98.0,22.0,60.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iit-delhi-dms.edu.in,True,"IIT Delhi DMS is a premier government institution located in New Delhi, Delhi. Established in 1997, it is highly ranked in Management.",kaggle_fallback
IIM Lucknow,iim-lucknow,Lucknow,Uttar Pradesh,GOVERNMENT,1984,6,Management,A+,4.1,478,1900000,2713924,100.0,29.0,110.0,TCS|Infosys|Wipro|Cognizant|Accenture,B.Tech Management|MBA|B.Sc,https://www.iim-lucknow.edu.in,True,"IIM Lucknow is a premier government institution located in Lucknow, Uttar Pradesh. Established in 1984, it is highly ranked in Management.",kaggle_fallback
